timestamp,sensor_1,sensor_2,sensor_3,sensor_4,sensor_5
2023-01-01 17:15:00,75,81,69,95,105
2023-01-01 17:30:00,72,94,95,109,61
2023-01-01 17:45:00,74,113,100,60,129
2023-01-01 18:00:00,58,112,96,100,101
2023-01-01 18:15:00,115,99,81,93,136
2023-01-01 18:30:00,94,87,136,101,99
2023-01-01 18:45:00,130,131,108,107,99
2023-01-01 19:00:00,92,138,92,98,116
2023-01-01 19:15:00,101,71,104,90,109
2023-01-01 19:30:00,95,67,124,101,93
2023-01-01 19:45:00,102,89,116,107,146
2023-01-01 20:00:00,71,75,115,48,111
2023-01-01 20:15:00,119,83,109,72,151
2023-01-01 20:30:00,119,75,115,72,94
2023-01-01 20:45:00,100,103,68,86,123
2023-01-01 21:00:00,118,108,103,102,111
2023-01-01 21:15:00,71,82,101,104,75
2023-01-01 21:30:00,97,64,166,77,107
2023-01-01 21:45:00,74,74,133,134,96
2023-01-01 22:00:00,74,98,148,127,112
2023-01-01 22:15:00,83,104,97,116,92
2023-01-01 22:30:00,113,85,105,86,133
2023-01-01 22:45:00,92,143,109,101,133
2023-01-01 23:00:00,113,114,81,67,126
2023-01-01 23:15:00,107,59,139,74,63
2023-01-01 23:30:00,134,98,96,68,128
2023-01-01 23:45:00,87,107,117,96,98
2023-01-02 00:00:00,132,117,126,118,111
2023-01-02 00:15:00,81,120,129,103,64
2023-01-02 00:30:00,116,128,102,102,140
2023-01-02 00:45:00,79,81,124,87,75
2023-01-02 01:00:00,118,133,106,110,70
2023-01-02 01:15:00,125,101,111,93,115
2023-01-02 01:30:00,108,100,98,81,105
2023-01-02 01:45:00,86,101,59,75,88
2023-01-02 02:00:00,90,84,79,154,107
2023-01-02 02:15:00,98,84,84,138,87
2023-01-02 02:30:00,81,102,122,99,109
2023-01-02 02:45:00,45,111,92,71,123
2023-01-02 03:00:00,75,88,102,121,98
2023-01-02 03:15:00,111,93,132,104,93
2023-01-02 03:30:00,87,111,66,65,134
2023-01-02 03:45:00,99,115,96,91,84
2023-01-02 04:00:00,117,145,91,98,112
2023-01-02 04:15:00,89,116,117,89,69
2023-01-02 04:30:00,111,103,76,81,135
2023-01-02 04:45:00,105,111,125,90,101
2023-01-02 05:00:00,97,82,85,71,100
2023-01-02 05:15:00,107,42,87,142,99
2023-01-02 05:30:00,117,100,86,94,89
2023-01-02 05:45:00,102,119,99,108,90
2023-01-02 06:00:00,97,137,104,129,99
2023-01-02 06:15:00,97,110,92,108,88
2023-01-02 06:30:00,114,87,97,76,99
2023-01-02 06:45:00,121,112,110,85,73
2023-01-02 07:00:00,109,85,114,132,139
2023-01-02 07:15:00,101,100,119,101,118
2023-01-02 07:30:00,98,94,101,93,121
2023-01-02 07:45:00,105,97,87,120,129
2023-01-02 08:00:00,114,88,119,94,85
2023-01-02 08:15:00,103,116,90,129,123
2023-01-02 08:30:00,98,109,80,81,89
2023-01-02 08:45:00,123,103,96,106,127
2023-01-02 09:00:00,107,88,73,111,79
2023-01-02 09:15:00,83,134,101,113,137
2023-01-02 09:30:00,80,105,106,100,105
2023-01-02 09:45:00,118,84,125,128,93
2023-01-02 10:00:00,108,106,107,115,119
2023-01-02 10:15:00,77,88,108,81,107
2023-01-02 10:30:00,74,93,55,90,85
2023-01-02 10:45:00,68,95,112,120,102
2023-01-02 11:00:00,106,119,90,117,115
2023-01-02 11:15:00,87,114,102,124,122
2023-01-02 11:30:00,64,98,126,97,136
2023-01-02 11:45:00,109,91,71,56,124
2023-01-02 12:00:00,95,70,123,123,104
2023-01-02 12:15:00,81,97,102,62,79
2023-01-02 12:30:00,88,144,111,116,146
2023-01-02 12:45:00,77,105,122,103,93
2023-01-02 13:00:00,80,180,84,134,123
2023-01-02 13:15:00,80,127,117,128,81
2023-01-02 13:30:00,129,92,93,99,67
2023-01-02 13:45:00,103,94,158,109,102
2023-01-02 14:00:00,105,98,79,89,104
2023-01-02 14:15:00,108,76,110,117,91
2023-01-02 14:30:00,87,85,123,108,144
2023-01-02 14:45:00,97,107,111,116,77
2023-01-02 15:00:00,88,96,79,143,113
2023-01-02 15:15:00,101,153,85,112,115
2023-01-02 15:30:00,105,152,101,129,71
2023-01-02 15:45:00,77,87,43,119,80
2023-01-02 16:00:00,99,99,141,103,105
2023-01-02 16:15:00,115,66,100,72,119
2023-01-02 16:30:00,86,131,68,86,89
2023-01-02 16:45:00,87,100,110,115,118
2023-01-02 17:00:00,137,90,102,102,107
2023-01-02 17:15:00,95,81,94,96,114
2023-01-02 17:30:00,119,94,127,107,125
2023-01-02 17:45:00,98,73,59,96,115
2023-01-02 18:00:00,88,108,106,94,148
2023-01-02 18:15:00,106,54,121,115,109
2023-01-02 18:30:00,115,116,74,117,81
2023-01-02 18:45:00,95,102,94,112,106
2023-01-02 19:00:00,73,108,82,86,113
2023-01-02 19:15:00,113,116,99,101,119
2023-01-02 19:30:00,108,86,75,50,84
2023-01-02 19:45:00,71,161,115,106,112
2023-01-02 20:00:00,102,161,115,80,94
2023-01-02 20:15:00,103,106,87,98,82
2023-01-02 20:30:00,121,100,96,64,85
2023-01-02 20:45:00,103,63,75,100,115
2023-01-02 21:00:00,115,107,70,102,109
2023-01-02 21:15:00,72,117,116,97,121
2023-01-02 21:30:00,97,115,115,96,103
2023-01-02 21:45:00,95,105,78,115,138
2023-01-02 22:00:00,93,79,82,125,102
2023-01-02 22:15:00,127,69,73,84,49
2023-01-02 22:30:00,116,121,107,83,118
2023-01-02 22:45:00,120,82,98,108,106
2023-01-02 23:00:00,85,53,78,123,124
2023-01-02 23:15:00,112,101,66,102,99
2023-01-02 23:30:00,81,113,102,113,107
2023-01-02 23:45:00,78,61,119,117,115
2023-01-03 00:00:00,94,103,130,101,111
2023-01-03 00:15:00,107,88,99,88,88
2023-01-03 00:30:00,98,59,99,34,109
2023-01-03 00:45:00,106,98,87,125,80
2023-01-03 01:00:00,109,94,83,139,124
2023-01-03 01:15:00,137,92,114,135,92
2023-01-03 01:30:00,110,99,70,86,73
2023-01-03 01:45:00,116,104,126,95,69
2023-01-03 02:00:00,89,125,86,84,64
2023-01-03 02:15:00,130,64,111,84,99
2023-01-03 02:30:00,141,115,71,62,93
2023-01-03 02:45:00,119,115,113,93,143
2023-01-03 03:00:00,98,100,93,116,124
2023-01-03 03:15:00,102,91,95,116,82
2023-01-03 03:30:00,115,80,114,92,61
2023-01-03 03:45:00,113,87,111,79,106
2023-01-03 04:00:00,71,133,74,113,81
2023-01-03 04:15:00,100,120,86,72,95
2023-01-03 04:30:00,88,128,96,141,92
2023-01-03 04:45:00,73,110,121,111,113
2023-01-03 05:00:00,143,135,116,112,139
2023-01-03 05:15:00,93,117,78,95,60
2023-01-03 05:30:00,115,78,119,112,136
2023-01-03 05:45:00,68,131,87,90,105
2023-01-03 06:00:00,110,96,117,110,101
2023-01-03 06:15:00,87,135,68,77,108
2023-01-03 06:30:00,85,103,87,81,133
2023-01-03 06:45:00,74,107,144,88,118
2023-01-03 07:00:00,130,62,88,85,124
2023-01-03 07:15:00,107,103,89,97,60
2023-01-03 07:30:00,115,111,96,122,112
2023-01-03 07:45:00,124,67,91,115,97
2023-01-03 08:00:00,110,108,126,71,87
2023-01-03 08:15:00,67,141,104,119,103
2023-01-03 08:30:00,111,92,78,99,140
2023-01-03 08:45:00,150,114,112,104,111
2023-01-03 09:00:00,98,134,88,148,112
2023-01-03 09:15:00,83,125,110,141,83
2023-01-03 09:30:00,60,88,111,96,126
2023-01-03 09:45:00,85,107,78,111,86
2023-01-03 10:00:00,120,123,92,107,112
2023-01-03 10:15:00,124,102,106,139,128
2023-01-03 10:30:00,84,131,109,106,117
2023-01-03 10:45:00,124,98,72,101,109
2023-01-03 11:00:00,112,109,136,123,141
2023-01-03 11:15:00,98,103,87,103,129
2023-01-03 11:30:00,86,111,116,91,111
2023-01-03 11:45:00,113,143,100,86,170
2023-01-03 12:00:00,98,98,133,104,113
2023-01-03 12:15:00,78,106,86,91,83
2023-01-03 12:30:00,112,88,121,125,104
2023-01-03 12:45:00,110,70,97,76,114
2023-01-03 13:00:00,119,111,99,134,100
2023-01-03 13:15:00,88,68,86,79,128
2023-01-03 13:30:00,80,103,56,94,109
2023-01-03 13:45:00,101,97,78,114,105
2023-01-03 14:00:00,79,105,85,106,72
2023-01-03 14:15:00,109,95,94,105,86
2023-01-03 14:30:00,84,115,117,142,79
2023-01-03 14:45:00,72,106,106,115,82
2023-01-03 15:00:00,106,121,119,87,121
2023-01-03 15:15:00,112,73,103,136,60
2023-01-03 15:30:00,92,90,110,101,90
2023-01-03 15:45:00,113,95,102,97,99
2023-01-03 16:00:00,96,78,119,81,83
2023-01-03 16:15:00,117,83,120,100,179
2023-01-03 16:30:00,101,132,85,113,92
2023-01-03 16:45:00,63,61,114,103,98
2023-01-03 17:00:00,92,120,132,114,93
2023-01-03 17:15:00,96,121,143,89,82
2023-01-03 17:30:00,106,95,107,110,112
2023-01-03 17:45:00,106,100,114,109,92
2023-01-03 18:00:00,107,133,100,119,101
2023-01-03 18:15:00,102,72,120,134,75
2023-01-03 18:30:00,102,115,74,138,120
2023-01-03 18:45:00,120,80,119,79,111
2023-01-03 19:00:00,117,140,77,100,87
2023-01-03 19:15:00,88,97,93,98,110
2023-01-03 19:30:00,93,104,96,116,105
2023-01-03 19:45:00,96,94,70,112,119
2023-01-03 20:00:00,107,131,94,94,102
2023-01-03 20:15:00,82,90,124,100,118
2023-01-03 20:30:00,105,45,103,64,93
2023-01-03 20:45:00,94,111,115,90,86
2023-01-03 21:00:00,127,68,131,116,76
2023-01-03 21:15:00,112,91,100,86,131
2023-01-03 21:30:00,93,124,121,88,106
2023-01-03 21:45:00,79,137,76,99,101
2023-01-03 22:00:00,115,129,134,80,94
2023-01-03 22:15:00,79,116,119,76,106
2023-01-03 22:30:00,121,111,60,85,75
2023-01-03 22:45:00,109,83,104,91,104
2023-01-03 23:00:00,113,82,102,90,93
2023-01-03 23:15:00,90,112,96,112,92
2023-01-03 23:30:00,123,110,84,93,77
2023-01-03 23:45:00,110,96,79,115,85
2023-01-04 00:00:00,91,87,122,122,94
2023-01-04 00:15:00,88,128,93,117,77
2023-01-04 00:30:00,111,84,93,101,89
2023-01-04 00:45:00,86,87,82,126,88
2023-01-04 01:00:00,123,85,97,99,94
2023-01-04 01:15:00,108,59,89,70,103
2023-01-04 01:30:00,82,58,125,78,111
2023-01-04 01:45:00,68,97,99,97,120
2023-01-04 02:00:00,87,91,133,113,106
2023-01-04 02:15:00,90,146,128,111,104
2023-01-04 02:30:00,114,77,88,115,88
2023-01-04 02:45:00,144,131,121,125,133
2023-01-04 03:00:00,118,55,91,104,104
2023-01-04 03:15:00,85,72,126,118,76
2023-01-04 03:30:00,79,126,110,73,115
2023-01-04 03:45:00,97,83,89,122,75
2023-01-04 04:00:00,129,117,108,116,111
2023-01-04 04:15:00,111,140,117,116,108
2023-01-04 04:30:00,161,101,93,83,93
2023-01-04 04:45:00,75,79,73,99,95
2023-01-04 05:00:00,124,86,91,118,98
2023-01-04 05:15:00,118,113,73,109,99
2023-01-04 05:30:00,131,106,122,102,114
2023-01-04 05:45:00,133,130,120,102,127
2023-01-04 06:00:00,112,103,114,89,120
2023-01-04 06:15:00,97,85,90,67,87
2023-01-04 06:30:00,141,111,99,109,77
2023-01-04 06:45:00,95,139,98,111,83
2023-01-04 07:00:00,105,75,92,133,118
2023-01-04 07:15:00,105,103,110,74,119
2023-01-04 07:30:00,111,121,111,115,128
2023-01-04 07:45:00,119,105,65,120,130
2023-01-04 08:00:00,113,128,107,129,121
2023-01-04 08:15:00,103,97,116,91,103
2023-01-04 08:30:00,109,96,85,126,126
2023-01-04 08:45:00,109,109,73,92,107
2023-01-04 09:00:00,94,77,96,102,123
2023-01-04 09:15:00,125,132,98,113,146
2023-01-04 09:30:00,131,99,108,110,87
2023-01-04 09:45:00,96,118,130,119,76
2023-01-04 10:00:00,80,131,74,110,42
2023-01-04 10:15:00,112,97,96,102,108
2023-01-04 10:30:00,115,117,78,103,115
2023-01-04 10:45:00,84,88,66,73,100
2023-01-04 11:00:00,117,116,110,90,132
2023-01-04 11:15:00,83,109,130,139,73
2023-01-04 11:30:00,132,122,107,100,128
2023-01-04 11:45:00,98,71,85,149,82
2023-01-04 12:00:00,118,119,138,124,97
2023-01-04 12:15:00,60,101,103,144,73
2023-01-04 12:30:00,117,123,125,95,78
2023-01-04 12:45:00,81,134,68,76,132
2023-01-04 13:00:00,99,130,137,106,100
2023-01-04 13:15:00,94,103,133,52,119
2023-01-04 13:30:00,110,108,94,95,102
2023-01-04 13:45:00,76,113,85,124,116
2023-01-04 14:00:00,87,96,84,117,134
2023-01-04 14:15:00,139,129,86,84,97
2023-01-04 14:30:00,102,119,121,87,108
2023-01-04 14:45:00,76,141,96,121,93
2023-01-04 15:00:00,85,121,106,114,106
2023-01-04 15:15:00,122,113,101,111,117
2023-01-04 15:30:00,70,130,106,95,120
2023-01-04 15:45:00,74,89,94,94,94
2023-01-04 16:00:00,108,91,112,116,118
2023-01-04 16:15:00,107,114,130,69,160
2023-01-04 16:30:00,69,104,121,82,111
2023-01-04 16:45:00,89,91,64,134,118
2023-01-04 17:00:00,92,89,110,120,122
2023-01-04 17:15:00,68,110,159,94,109
2023-01-04 17:30:00,88,89,100,122,132
2023-01-04 17:45:00,85,80,144,111,107
2023-01-04 18:00:00,97,115,93,103,112
2023-01-04 18:15:00,133,99,127,93,100
2023-01-04 18:30:00,125,95,108,102,110
2023-01-04 18:45:00,92,118,70,129,75
2023-01-04 19:00:00,114,82,122,118,115
2023-01-04 19:15:00,99,105,85,111,120
2023-01-04 19:30:00,143,110,148,101,89
2023-01-04 19:45:00,111,101,131,115,65
2023-01-04 20:00:00,84,122,124,106,97
2023-01-04 20:15:00,120,94,115,92,118
2023-01-04 20:30:00,65,82,124,94,111
2023-01-04 20:45:00,58,103,113,118,113
2023-01-04 21:00:00,123,121,73,125,147
2023-01-04 21:15:00,78,101,79,77,100
2023-01-04 21:30:00,83,66,113,91,84
2023-01-04 21:45:00,129,106,99,73,109
2023-01-04 22:00:00,86,124,122,69,91
2023-01-04 22:15:00,77,110,80,122,114
2023-01-04 22:30:00,93,95,117,134,112
2023-01-04 22:45:00,126,84,85,70,85
2023-01-04 23:00:00,106,77,114,80,86
2023-01-04 23:15:00,104,112,97,90,100
2023-01-04 23:30:00,107,54,68,128,91
2023-01-04 23:45:00,98,121,84,105,125
2023-01-05 00:00:00,106,126,142,84,115
2023-01-05 00:15:00,128,107,95,123,97
2023-01-05 00:30:00,104,119,145,127,88
2023-01-05 00:45:00,112,96,118,101,112
2023-01-05 01:00:00,113,134,121,87,138
2023-01-05 01:15:00,135,113,120,100,129
2023-01-05 01:30:00,123,143,76,97,111
2023-01-05 01:45:00,79,62,77,87,98
2023-01-05 02:00:00,96,115,100,113,89
2023-01-05 02:15:00,145,121,135,119,81
2023-01-05 02:30:00,117,103,96,114,105
2023-01-05 02:45:00,138,96,101,91,105
2023-01-05 03:00:00,67,90,161,92,97
2023-01-05 03:15:00,105,121,109,88,96
2023-01-05 03:30:00,104,131,96,108,108
2023-01-05 03:45:00,110,104,98,102,110
2023-01-05 04:00:00,146,88,144,132,79
2023-01-05 04:15:00,94,81,98,117,124
2023-01-05 04:30:00,127,127,83,122,111
2023-01-05 04:45:00,98,99,96,126,88
2023-01-05 05:00:00,121,149,97,93,77
2023-01-05 05:15:00,106,93,102,127,99
2023-01-05 05:30:00,102,105,127,100,104
2023-01-05 05:45:00,92,125,71,100,82
2023-01-05 06:00:00,117,97,144,110,121
2023-01-05 06:15:00,99,102,123,107,125
2023-01-05 06:30:00,126,81,96,99,116
2023-01-05 06:45:00,108,113,100,139,131
2023-01-05 07:00:00,110,132,96,121,96
2023-01-05 07:15:00,91,91,88,75,124
2023-01-05 07:30:00,123,97,97,112,90
2023-01-05 07:45:00,60,107,114,92,116
2023-01-05 08:00:00,98,137,148,101,87
2023-01-05 08:15:00,140,112,130,129,106
2023-01-05 08:30:00,82,76,103,115,43
2023-01-05 08:45:00,92,101,76,107,84
2023-01-05 09:00:00,92,108,102,74,95
2023-01-05 09:15:00,104,120,96,108,103
2023-01-05 09:30:00,89,113,104,94,45
2023-01-05 09:45:00,80,85,54,94,136
2023-01-05 10:00:00,82,116,120,114,136
2023-01-05 10:15:00,103,124,50,93,121
2023-01-05 10:30:00,78,128,132,92,103
2023-01-05 10:45:00,114,93,89,123,132
2023-01-05 11:00:00,68,119,121,91,77
2023-01-05 11:15:00,117,109,111,124,103
2023-01-05 11:30:00,55,102,74,100,118
2023-01-05 11:45:00,81,128,102,105,113
2023-01-05 12:00:00,119,116,110,36,88
2023-01-05 12:15:00,80,110,110,136,102
2023-01-05 12:30:00,117,62,151,114,138
2023-01-05 12:45:00,96,86,105,71,106
2023-01-05 13:00:00,99,121,98,81,111
2023-01-05 13:15:00,102,102,124,90,50
2023-01-05 13:30:00,102,78,140,95,134
2023-01-05 13:45:00,93,83,100,78,90
2023-01-05 14:00:00,150,104,116,114,95
2023-01-05 14:15:00,91,92,88,101,65
2023-01-05 14:30:00,113,88,92,128,136
2023-01-05 14:45:00,57,108,102,90,109
2023-01-05 15:00:00,102,104,109,95,102
2023-01-05 15:15:00,92,121,119,77,109
2023-01-05 15:30:00,93,79,146,84,104
2023-01-05 15:45:00,109,76,126,83,141
2023-01-05 16:00:00,92,98,79,111,109
2023-01-05 16:15:00,107,116,121,120,66
2023-01-05 16:30:00,105,137,123,106,159
2023-01-05 16:45:00,100,115,77,102,82
2023-01-05 17:00:00,135,101,105,96,85
2023-01-05 17:15:00,127,94,91,121,88
2023-01-05 17:30:00,96,88,63,112,75
2023-01-05 17:45:00,109,109,83,102,56
2023-01-05 18:00:00,82,141,108,107,91
2023-01-05 18:15:00,98,122,78,125,108
2023-01-05 18:30:00,104,77,132,96,91
2023-01-05 18:45:00,136,91,112,113,82
2023-01-05 19:00:00,107,100,101,127,83
2023-01-05 19:15:00,81,133,77,101,98
2023-01-05 19:30:00,122,117,122,104,115
2023-01-05 19:45:00,82,159,105,124,73
2023-01-05 20:00:00,100,86,82,106,113
2023-01-05 20:15:00,105,86,121,105,102
2023-01-05 20:30:00,87,111,102,98,103
2023-01-05 20:45:00,82,78,103,126,100
2023-01-05 21:00:00,95,119,99,100,76
2023-01-05 21:15:00,103,117,65,73,96
2023-01-05 21:30:00,131,123,82,101,94
2023-01-05 21:45:00,115,84,84,123,72
2023-01-05 22:00:00,104,107,75,108,117
2023-01-05 22:15:00,65,107,137,127,117
2023-01-05 22:30:00,82,117,105,106,126
2023-01-05 22:45:00,127,99,125,71,105
2023-01-05 23:00:00,71,99,135,100,77
2023-01-05 23:15:00,128,115,50,76,94
2023-01-05 23:30:00,104,114,93,101,114
2023-01-05 23:45:00,106,70,84,106,130
2023-01-06 00:00:00,112,69,78,120,97
2023-01-06 00:15:00,143,86,89,101,104
2023-01-06 00:30:00,79,110,122,66,158
2023-01-06 00:45:00,134,127,109,111,111
2023-01-06 01:00:00,122,65,108,120,122
2023-01-06 01:15:00,122,66,107,110,130
2023-01-06 01:30:00,96,137,115,143,95
2023-01-06 01:45:00,126,106,100,125,93
2023-01-06 02:00:00,70,107,153,98,123
2023-01-06 02:15:00,88,83,111,128,103
2023-01-06 02:30:00,99,88,126,84,83
2023-01-06 02:45:00,102,87,97,133,92
2023-01-06 03:00:00,111,102,72,141,119
2023-01-06 03:15:00,125,102,94,111,73
2023-01-06 03:30:00,72,70,98,109,98
2023-01-06 03:45:00,62,123,101,105,124
2023-01-06 04:00:00,127,135,97,124,97
2023-01-06 04:15:00,70,86,100,111,87
2023-01-06 04:30:00,87,98,139,97,94
2023-01-06 04:45:00,132,88,85,127,127
2023-01-06 05:00:00,90,153,90,112,97
2023-01-06 05:15:00,82,159,120,87,108
2023-01-06 05:30:00,104,95,102,103,111
2023-01-06 05:45:00,77,109,72,76,70
2023-01-06 06:00:00,94,78,78,115,95
2023-01-06 06:15:00,102,97,123,103,105
2023-01-06 06:30:00,94,119,71,130,87
2023-01-06 06:45:00,111,100,108,79,145
2023-01-06 07:00:00,126,125,125,88,126
2023-01-06 07:15:00,76,105,135,111,125
2023-01-06 07:30:00,113,82,141,103,64
2023-01-06 07:45:00,58,115,97,103,92
2023-01-06 08:00:00,28,104,123,111,120
2023-01-06 08:15:00,97,99,116,92,112
2023-01-06 08:30:00,126,86,83,111,89
2023-01-06 08:45:00,99,89,81,76,108
2023-01-06 09:00:00,86,106,118,52,86
2023-01-06 09:15:00,129,153,117,92,107
2023-01-06 09:30:00,140,96,73,111,130
2023-01-06 09:45:00,89,105,105,102,95
2023-01-06 10:00:00,110,88,126,139,85
2023-01-06 10:15:00,109,121,93,115,95
2023-01-06 10:30:00,113,121,87,117,149
2023-01-06 10:45:00,124,116,109,90,106
2023-01-06 11:00:00,118,116,105,107,122
2023-01-06 11:15:00,120,84,125,125,134
2023-01-06 11:30:00,106,110,92,113,141
2023-01-06 11:45:00,88,107,54,105,87
2023-01-06 12:00:00,66,136,131,100,107
2023-01-06 12:15:00,128,107,106,105,116
2023-01-06 12:30:00,131,130,103,95,103
2023-01-06 12:45:00,80,110,108,88,109
2023-01-06 13:00:00,105,100,112,138,73
2023-01-06 13:15:00,111,115,66,82,90
2023-01-06 13:30:00,122,82,108,90,98
2023-01-06 13:45:00,76,129,104,117,112
2023-01-06 14:00:00,82,116,108,86,101
2023-01-06 14:15:00,94,136,115,79,125
2023-01-06 14:30:00,112,133,139,90,78
2023-01-06 14:45:00,102,116,92,114,97
2023-01-06 15:00:00,95,95,131,121,126
2023-01-06 15:15:00,88,69,132,92,110
2023-01-06 15:30:00,103,125,67,98,111
2023-01-06 15:45:00,99,103,109,105,125
2023-01-06 16:00:00,114,123,120,130,55
2023-01-06 16:15:00,88,115,136,132,87
2023-01-06 16:30:00,111,51,138,116,92
2023-01-06 16:45:00,114,98,115,86,102
2023-01-06 17:00:00,101,105,94,85,114
2023-01-06 17:15:00,94,95,101,90,108
2023-01-06 17:30:00,72,106,88,129,124
2023-01-06 17:45:00,80,84,123,88,96
2023-01-06 18:00:00,124,83,99,75,111
2023-01-06 18:15:00,72,133,127,114,94
2023-01-06 18:30:00,106,135,98,123,98
2023-01-06 18:45:00,92,124,96,74,96
2023-01-06 19:00:00,113,110,126,105,103
2023-01-06 19:15:00,118,83,147,133,131
2023-01-06 19:30:00,111,108,148,98,111
2023-01-06 19:45:00,58,109,81,146,117
2023-01-06 20:00:00,58,71,105,103,168
2023-01-06 20:15:00,118,82,92,81,101
2023-01-06 20:30:00,89,125,134,97,89
2023-01-06 20:45:00,104,110,102,90,100
2023-01-06 21:00:00,86,128,74,118,96
2023-01-06 21:15:00,111,102,114,101,105
2023-01-06 21:30:00,104,81,107,125,122
2023-01-06 21:45:00,120,82,94,131,136
2023-01-06 22:00:00,75,117,129,78,108
2023-01-06 22:15:00,96,138,117,113,73
2023-01-06 22:30:00,143,115,96,105,110
2023-01-06 22:45:00,118,71,95,108,68
2023-01-06 23:00:00,136,90,135,106,115
2023-01-06 23:15:00,58,99,129,89,98
2023-01-06 23:30:00,103,128,92,122,91
2023-01-06 23:45:00,114,110,98,87,91
2023-01-07 00:00:00,99,144,98,133,92
2023-01-07 00:15:00,105,112,93,145,91
2023-01-07 00:30:00,89,113,115,109,98
2023-01-07 00:45:00,113,88,98,58,118
2023-01-07 01:00:00,111,72,83,129,112
2023-01-07 01:15:00,120,80,102,86,107
2023-01-07 01:30:00,94,132,109,140,126
2023-01-07 01:45:00,96,94,84,119,81
2023-01-07 02:00:00,97,118,114,70,115
2023-01-07 02:15:00,97,106,80,82,127
2023-01-07 02:30:00,92,87,108,112,119
2023-01-07 02:45:00,99,126,120,137,99
2023-01-07 03:00:00,82,125,96,117,124
2023-01-07 03:15:00,96,108,108,106,94
2023-01-07 03:30:00,127,121,89,123,71
2023-01-07 03:45:00,105,100,77,45,117
2023-01-07 04:00:00,119,96,126,82,111
2023-01-07 04:15:00,118,62,96,108,67
2023-01-07 04:30:00,98,111,91,104,134
2023-01-07 04:45:00,73,140,131,94,114
2023-01-07 05:00:00,135,128,139,115,93
2023-01-07 05:15:00,109,119,94,130,95
2023-01-07 05:30:00,85,95,62,121,88
2023-01-07 05:45:00,96,114,110,92,135
2023-01-07 06:00:00,107,126,121,101,124
2023-01-07 06:15:00,116,120,99,88,98
2023-01-07 06:30:00,140,116,88,118,73
2023-01-07 06:45:00,78,122,88,110,101
2023-01-07 07:00:00,57,68,109,128,102
