source,target,weight
44.0,124.0,0.113
44.0,151.0,0.0602
44.0,152.0,0.0607
151.0,45.0,0.1079
151.0,108.0,0.0571
151.0,158.0,0.1052
151.0,162.0,0.0328
152.0,46.0,0.1161
152.0,157.0,0.1052
152.0,108.0,0.0566
152.0,162.0,0.0334
17.0,60.0,0.0917
17.0,168.0,0.0693
19.0,137.0,0.0732
19.0,77.0,0.0962
19.0,20.0,0.1268
19.0,101.0,0.1616
19.0,165.0,0.0866
137.0,29.0,0.0319
137.0,101.0,0.1087
137.0,102.0,0.1099
77.0,35.0,0.107
20.0,165.0,0.0386
20.0,101.0,0.0596
20.0,163.0,0.1058
165.0,23.0,0.1194
165.0,38.0,0.1147
165.0,29.0,0.0108
101.0,97.0,0.1146
101.0,29.0,0.0753
21.0,132.0,0.1228
21.0,90.0,0.1195
21.0,29.0,0.1085
132.0,90.0,0.0446
132.0,134.0,0.1165
90.0,85.0,0.1043
23.0,103.0,0.1132
24.0,166.0,0.0936
24.0,102.0,0.113
25.0,103.0,0.1052
29.0,38.0,0.1031
38.0,92.0,0.1107
35.0,157.0,0.1065
36.0,158.0,0.1035
37.0,130.0,0.1076
37.0,85.0,0.1123
37.0,92.0,0.101
37.0,147.0,0.0128
130.0,106.0,0.1609
92.0,89.0,0.097
92.0,85.0,0.1033
92.0,147.0,0.0966
92.0,146.0,0.0933
162.0,46.0,0.1179
162.0,72.0,1.0
162.0,108.0,0.0905
43.0,100.0,0.1018
100.0,83.0,0.1045
124.0,126.0,0.1157
45.0,93.0,0.1024
45.0,106.0,0.0778
45.0,108.0,0.1082
93.0,80.0,0.099
93.0,106.0,0.0324
106.0,131.0,0.049
46.0,78.0,0.1062
46.0,107.0,0.0704
47.0,65.0,0.1121
65.0,48.0,0.0958
65.0,72.0,0.0892
48.0,49.0,0.0928
48.0,72.0,0.0047
49.0,54.0,0.0961
54.0,56.0,0.0955
50.0,74.0,0.1064
50.0,159.0,0.1154
74.0,82.0,0.1052
51.0,73.0,0.1177
51.0,75.0,0.1158
73.0,71.0,0.0866
53.0,150.0,0.0834
53.0,55.0,0.0997
150.0,61.0,0.0924
150.0,71.0,0.0657
56.0,57.0,0.0892
55.0,66.0,0.0939
57.0,68.0,0.0879
68.0,69.0,0.1029
58.0,67.0,0.0882
58.0,59.0,0.0916
67.0,66.0,0.0897
59.0,70.0,0.1169
60.0,69.0,0.0954
61.0,64.0,0.0934
61.0,71.0,0.0255
64.0,63.0,0.0726
62.0,111.0,0.0999
62.0,70.0,0.0998
72.0,159.0,0.103
82.0,81.0,0.1007
75.0,88.0,0.1008
78.0,107.0,0.0421
78.0,86.0,0.143
107.0,105.0,0.1066
79.0,95.0,0.1008
79.0,80.0,0.1156
95.0,98.0,0.0963
81.0,99.0,0.1179
99.0,84.0,0.1067
83.0,87.0,0.0982
87.0,88.0,0.0963
85.0,146.0,0.1133
86.0,94.0,0.1012
89.0,147.0,0.1043
89.0,91.0,0.1222
147.0,104.0,0.083
147.0,148.0,0.024
91.0,163.0,0.094
91.0,133.0,0.0448
163.0,133.0,0.1012
94.0,96.0,0.1199
98.0,119.0,0.1022
98.0,144.0,0.0119
96.0,118.0,0.0889
96.0,145.0,0.0241
97.0,148.0,0.0949
119.0,120.0,0.1134
144.0,116.0,0.0782
104.0,148.0,0.1089
104.0,108.0,0.1131
104.0,105.0,0.1165
148.0,108.0,0.0934
148.0,146.0,0.0226
108.0,146.0,0.0953
112.0,115.0,0.0985
113.0,116.0,0.1241
115.0,145.0,0.1203
118.0,145.0,0.0748
118.0,140.0,0.1183
120.0,122.0,0.1184
122.0,141.0,0.1292
121.0,140.0,0.1159
121.0,123.0,0.0979
141.0,142.0,0.108
134.0,136.0,0.1052
133.0,135.0,0.1168
135.0,138.0,0.1066
